año,presidente,presupuesto_por_ano_constante,presupuesto_por_periodo_constante,presupuesto_por_ano_corriente,presupuesto_por_periodo_corriente,tasa_inflacion_por_ano,tasa_inflacion_acumulada _por_periodo
2002,Álvaro Uribe,8015839067409.0,52974381701424.0,24748039870441.0,144007619842863.0,6.99,24.3
2003,Álvaro Uribe,9428157812723.0,,27171177181786.0,,6.49,
2004,Álvaro Uribe,10798766015405.0,,29386186217124.0,,5.5,
2005,Álvaro Uribe,11951406436963.0,,30959069313190.0,,4.85,
2006,Álvaro Uribe,12780212368924.0,,31743147260322.0,,4.48,
2007,Álvaro Uribe,14060031968034.0,67578980178192.0,33087438349321.0,146495726965522.0,5.69,20.35
2008,Álvaro Uribe,15508597734676.0,,34109727192660.0,,7.67,
2009,Álvaro Uribe,18175352170384.0,,38362799535243.0,,2.0,
2010,Álvaro Uribe,19834998305098.0,,40935761888298.0,,3.17,
2011,Juan Manuel Santos,21210750857499.0,93977906064964.0,42329492508824.0,179766228368456.0,3.73,8.3
2012,Juan Manuel Santos,22282546361055.0,,43102391678485.0,,2.44,
2013,Juan Manuel Santos,24460258180300.0,,46379392490746.0,,1.94,
2014,Juan Manuel Santos,26024350666110.0,,47954951690401.0,,3.66,
2015,Juan Manuel Santos,14163072564510.0,105495018817547.0,2485786359327.0,165598088299766.0,6.77,15.79
2016,Juan Manuel Santos,30983939025605.0,,50580130955407.0,,5.75,
2017,Juan Manuel Santos,35285015996184.0,,55219186393802.0,,4.09,
2018,Juan Manuel Santos,37809756539307.0,,57312984591230.0,,3.18,
2019,Iván Duque,40921429174402.0,180290109463729.0,59918773066243.0,248232329588922.0,3.8,16.91
2020,Iván Duque,44449102630729.0,,63480251363809.0,,1.61,
2021,Iván Duque,46681183930890.0,,64416621991816.0,,5.62,
2022,Iván Duque,48238393727708.0,,60416683167054.0,,13.12,
2023,Gustavo Petro,50799584167041.0,160456072578452.0,56941850347004.0,169654322406767.0,9.28,12.09
2024,Gustavo Petro,59429301527553.0,,62485285175905.0,,5.2,
2025,Gustavo Petro,50227186883858.0,,50227186883858.0,,5.1,
